,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
16B21A0358,R1631031,DYNAMICS OF MACHINERY,16,ABSENT,0,
16B21A0358,R1631033,DESIGN OF MACHINE MEMBERS-II,13,ABSENT,0,
16B21A0358,R1631034,OPERATIONS RESEARCH,13,ABSENT,0,
16B21A0358,R1631035,THERMAL ENGINEERING -II,15,ABSENT,0,
16B21A05A4,R1631054,DATABASE MANAGEMENT SYSTEMS,17,F,0,
17B21A04B8,R1631042,LINEAR I C APPLICATIONS,26,C,3,
17B21A04B8,R1631043,DIGITAL I C APPLICATIONS,27,F,0,
17B21A04B8,R1631044,DIGITAL COMMUNICATIONS,25,F,0,
17B21A04B8,R1631045,ANTENNA AND WAVE PROPAGATION,25,F,0,
18B21A0127,R1631013,STRUCTURAL ANALYSIS -II,18,B,3,
18B21A0237,R1631022,RENEWABLE ENERGY SOURCES,20,D,3,
18B21A0237,R1631024,PULSE & DIGITAL CIRCUITS,19,F,0,
18B21A0237,R1631025,POWER ELECTRONICS,19,ABSENT,0,
18B21A0317,R1631035,THERMAL ENGINEERING -II,19,F,0,
18B21A0348,R1631034,OPERATIONS RESEARCH,19,D,3,
18B21A0353,R1631031,DYNAMICS OF MACHINERY,21,D,3,
18B21A0390,R1631031,DYNAMICS OF MACHINERY,17,D,3,
18B21A03C5,R1631031,DYNAMICS OF MACHINERY,15,F,0,
18B21A03C5,R1631035,THERMAL ENGINEERING -II,19,F,0,
18B21A04D5,R1631041,COMPUTER ARCHITECTURE AND ORGANIZATION,22,ABSENT,0,
18B21A0522,R1631051,COMPILER DESIGN,23,ABSENT,0,
18B21A0522,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USIN,22,ABSENT,0,
18B21A0522,R1631054,DATABASE MANAGEMENT SYSTEMS,23,F,0,
18B21A0551,R1631052,UNIX PROGRAMMING,17,D,3,
18B21A0577,R1631051,COMPILER DESIGN,14,F,0,
18B21A0577,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USIN,14,D,3,
18B21A0577,R1631054,DATABASE MANAGEMENT SYSTEMS,15,F,0,
18B21A0577,R1631055,OPERATING SYSTEMS,15,D,3,
18B25A0222,R1631021,POWER SYSTEMS-II,5,ABSENT,0,
18B25A0222,R1631022,RENEWABLE ENERGY SOURCES,5,F,0,
18B25A0222,R1631023,SIGNALS AND SYSTEMS,5,ABSENT,0,
18B25A0222,R1631024,PULSE & DIGITAL CIRCUITS,5,F,0,
18B25A0222,R1631025,POWER ELECTRONICS,5,ABSENT,0,
18B25A0309,R1631031,DYNAMICS OF MACHINERY,18,D,3,
18B25A0309,R1631033,DESIGN OF MACHINE MEMBERS-II,21,C,3,
19B21A0112,R1931011,STRUCTURAL ANALYSIS,15,C,3,
19B21A0118,R1931011,STRUCTURAL ANALYSIS,15,D,3,
19B21A0209,R1931024,DIGITAL SIGNAL PROCESSING,16,F,0,
19B21A0221,R1931021,POWER SYSTEMS-II,16,F,0,
19B21A0221,R1931023,LINEAR IC APPLICATIONS,16,F,0,
19B21A0221,R1931024,DIGITAL SIGNAL PROCESSING,16,F,0,
19B21A0226,R1931023,LINEAR IC APPLICATIONS,17,F,0,
19B21A0307,R1931031,DYNAMICS OF MACHINERY,13,ABSENT,0,
19B21A0309,R1931031,DYNAMICS OF MACHINERY,14,F,0,
19B21A0321,R1931031,DYNAMICS OF MACHINERY,16,F,0,
19B21A0321,R1931033,MECHANICAL MEASUREMENTS & METROLOGY,17,F,0,
19B21A0325,R1931031,DYNAMICS OF MACHINERY,13,F,0,
19B21A0325,R1931033,MECHANICAL MEASUREMENTS & METROLOGY,12,D,3,
19B21A0331,R1931032,DESIGN OF MACHINE MEMBERS-II,18,ABSENT,0,
19B21A0331,R1931033,MECHANICAL MEASUREMENTS & METROLOGY,12,ABSENT,0,
19B21A0336,R1931032,DESIGN OF MACHINE MEMBERS-II,15,F,0,
19B21A0339,R1931031,DYNAMICS OF MACHINERY,14,F,0,
19B21A0339,R1931033,MECHANICAL MEASUREMENTS & METROLOGY,15,F,0,
19B21A0342,R1931032,DESIGN OF MACHINE MEMBERS-II,16,F,0,
19B21A0342,R1931033,MECHANICAL MEASUREMENTS & METROLOGY,13,F,0,
19B21A0347,R1931031,DYNAMICS OF MACHINERY,16,F,0,
19B21A0347,R1931032,DESIGN OF MACHINE MEMBERS-II,16,F,0,
19B21A0427,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,9,F,0,
19B21A0427,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,9,F,0,
19B21A0427,R1931043,DIGITAL COMMUNICATIONS,9,F,0,
19B21A0427,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,9,D,3,
19B21A0429,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,17,F,0,
19B21A0439,R1931043,DIGITAL COMMUNICATIONS,18,F,0,
19B21A0439,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,15,F,0,
19B21A0444,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,16,D,3,
19B21A0446,R1931043,DIGITAL COMMUNICATIONS,19,F,0,
19B21A0446,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,18,F,0,
19B21A0448,R1931043,DIGITAL COMMUNICATIONS,17,F,0,
19B21A0461,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,18,C,3,
19B21A0461,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,16,F,0,
19B21A0474,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,17,C,3,
19B21A0490,R1931043,DIGITAL COMMUNICATIONS,17,D,3,
19B21A04B6,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,15,F,0,
19B21A04F3,R1931043,DIGITAL COMMUNICATIONS,18,F,0,
19B21A04G8,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,16,ABSENT,0,
19B21A04G8,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,16,ABSENT,0,
19B21A04G8,R1931043,DIGITAL COMMUNICATIONS,15,ABSENT,0,
19B21A04G8,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,15,ABSENT,0,
19B21A04G8,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,18,ABSENT,0,
19B21A04H2,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,19,ABSENT,0,
19B21A04H2,R1931043,DIGITAL COMMUNICATIONS,18,F,0,
19B21A04H2,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,20,ABSENT,0,
19B21A04J0,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,15,F,0,
19B21A04J0,R1931043,DIGITAL COMMUNICATIONS,19,ABSENT,0,
19B21A04J0,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,14,F,0,
19B21A0579,R1931054,ARTIFICIAL INTELLIGENCE,16,D,3,
19B21A05B8,R1931054,ARTIFICIAL INTELLIGENCE,19,C,3,
20B21A4217,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,B,3,
20B21A4226,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4226,R2031421,COMPILER DESIGN,19,F,0,
20B21A4226,R2031422,OPERATING SYSTEMS,18,F,0,
20B21A4226,R2031423,MACHINE LEARNING,18,F,0,
20B21A4243,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4243,R2031421,COMPILER DESIGN,20,F,0,
20B21A4243,R2031422,OPERATING SYSTEMS,23,ABSENT,0,
20B21A4243,R2031423,MACHINE LEARNING,20,F,0,
20B21A4243,R203142A,SOFTWARE ENGINEERING,17,E,3,
20B21A4245,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
20B21A4249,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4249,R2031421,COMPILER DESIGN,17,F,0,
20B21A4249,R2031422,OPERATING SYSTEMS,18,D,3,
20B21A4255,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4255,R2031421,COMPILER DESIGN,21,D,3,
20B21A4255,R2031422,OPERATING SYSTEMS,19,D,3,
20B21A4255,R2031423,MACHINE LEARNING,19,E,3,
20B21A4255,R203142A,SOFTWARE ENGINEERING,20,F,0,
20B21A4256,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,E,3,
20B21A4257,R2031421,COMPILER DESIGN,19,E,3,
20B21A4257,R203142A,SOFTWARE ENGINEERING,14,F,0,
20B21A4262,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4263,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,B,3,
20B21A4266,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
20B21A4272,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4274,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4278,R2031422,OPERATING SYSTEMS,17,C,3,
20B21A4278,R203142A,SOFTWARE ENGINEERING,19,E,3,
20B21A4280,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4281,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,E,3,
20B21A4281,R2031421,COMPILER DESIGN,21,D,3,
20B21A4281,R2031423,MACHINE LEARNING,19,F,0,
20B21A4281,R203142A,SOFTWARE ENGINEERING,17,E,3,
20B21A4285,R2031423,MACHINE LEARNING,18,E,3,
20B21A4287,R2031422,OPERATING SYSTEMS,22,F,0,
20B21A4288,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,E,3,
20B21A4297,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
20B21A4297,R2031421,COMPILER DESIGN,17,F,0,
